nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
M. Bauer,21,Germany,189,84,1000.0,8000.0,750000.0,2900000.0,5800000.0,SpVgg Greuther Fürth,SpVgg Greuther Fürth,German 2. Bundesliga,German 1. Bundesliga,2.0,1.0
Luca Sangalli,26,Spain,167,74,18000.0,4000.0,3400000.0,1700000.0,2800000.0,Real Sociedad,Real Sociedad B,Spain Primera Division,Spanish Segunda División,1.0,2.0
Guerrero,23,Spain,174,67,7000.0,7000.0,1800000.0,3000000.0,5000000.0,FC Lugano,FC Zürich,Swiss Super League,Swiss Super League,1.0,1.0
J. Shackleton,21,England,168,65,15000.0,23000.0,1700000.0,3100000.0,6500000.0,Leeds United,Leeds United,English Premier League,English Premier League,1.0,1.0
A. Kutucu,21,Turkey,181,76,9000.0,14000.0,2900000.0,3200000.0,7000000.0,FC Schalke 04,İstanbul Başakşehir FK,German 1. Bundesliga,Turkish Süper Lig,1.0,1.0
J. Lawrence,28,Wales,188,81,,9000.0,,1300000.0,2100000.0,,FC St. Pauli,,German 2. Bundesliga,,2.0
K. Onose,28,Japan,176,65,8000.0,7000.0,1700000.0,1400000.0,1800000.0,Gamba Osaka,Gamba Osaka,Japanese J. League Division 1,Japanese J. League Division 1,1.0,1.0
Rober,20,Spain,169,63,4000.0,8000.0,2400000.0,3400000.0,7800000.0,Unión Deportiva Las Palmas,Real Betis Balompié,Spanish Segunda División,Spain Primera Division,2.0,1.0
L. Binks,19,England,188,86,1000.0,7000.0,950000.0,3100000.0,5900000.0,Club de Foot Montréal,Bologna,USA Major League Soccer,Italian Serie A,1.0,1.0
H. Calcaterra,32,Peru,177,72,,550.0,,1100000.0,2400000.0,,Club Sporting Cristal,,Peruvian Primera División,,1.0
Andrés Martín,21,Spain,170,66,2000.0,8000.0,2100000.0,3200000.0,7700000.0,Rayo Vallecano,Rayo Vallecano,Spanish Segunda División,Spain Primera Division,2.0,1.0
Á. Preciado,23,Ecuador,173,73,500.0,6000.0,1900000.0,2100000.0,3600000.0,Independiente del Valle,KRC Genk,Ecuadorian Serie A,Belgian Jupiler Pro League,1.0,1.0
Iñaki Peña,22,Spain,184,78,,29000.0,,2700000.0,6100000.0,,FC Barcelona,,Spain Primera Division,,1.0
M. Pulkrab,24,Czech Republic,182,78,500.0,500.0,1100000.0,2000000.0,4600000.0,AC Sparta Praha,AC Sparta Praha,Czech Republic Gambrinus Liga,Czech Republic Gambrinus Liga,1.0,1.0
I. Vukotić,22,Montenegro,191,78,,5000.0,,3000000.0,,,Boavista FC,,Portuguese Liga ZON SAGRES,,1.0
F. Navarro,21,Argentina,170,69,3000.0,3000.0,1500000.0,3200000.0,5300000.0,Club Atlético Talleres,Chicago Fire Football Club,Argentina Primera División,USA Major League Soccer,1.0,1.0
M. Suárez,25,Uruguay,182,80,750.0,10000.0,3300000.0,1800000.0,3700000.0,Club Nacional de Football,Montpellier Hérault SC,Uruguayan Primera División,French Ligue 1,1.0,1.0
Y. Suzuki,28,Japan,184,73,3000.0,3000.0,1700000.0,1200000.0,1500000.0,Oita Trinita,Shimizu S-Pulse,Japanese J. League Division 1,Japanese J. League Division 1,1.0,1.0
M. Daramy,19,Denmark,180,71,2000.0,5000.0,2600000.0,3300000.0,6700000.0,F.C. København,Ajax,Danish Superliga,Holland Eredivisie,1.0,1.0
F. Girotti,22,Argentina,190,84,3000.0,8000.0,1400000.0,3200000.0,5100000.0,River Plate,River Plate,Argentina Primera División,Argentina Primera División,1.0,1.0
Javi Mier,22,Spain,176,65,2000.0,5000.0,1800000.0,3100000.0,5600000.0,Real Oviedo,Real Oviedo,Spanish Segunda División,Spanish Segunda División,2.0,2.0
Álvaro Valles,23,Spain,191,82,3000.0,3000.0,2300000.0,2400000.0,4300000.0,Unión Deportiva Las Palmas,Unión Deportiva Las Palmas,Spanish Segunda División,Spanish Segunda División,2.0,2.0
S. Abdulhamid,21,Saudi Arabia,175,70,6000.0,11000.0,1300000.0,3000000.0,5700000.0,Al Ittihad,Al Ittihad,Saudi Abdul L. Jameel League,Saudi Abdul L. Jameel League,1.0,1.0
Jaume Grau,24,Spain,184,78,8000.0,10000.0,2100000.0,2900000.0,6700000.0,CD Tondela,CA Osasuna,Portuguese Liga ZON SAGRES,Spain Primera Division,1.0,1.0
I. Coulibaly,20,Mali,183,68,5000.0,10000.0,1700000.0,3000000.0,,K Beerschot VA,K Beerschot VA,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
Campuzano,24,Spain,174,72,5000.0,5000.0,3600000.0,2200000.0,4000000.0,RCD Espanyol de Barcelona,Real Sporting de Gijón,Spanish Segunda División,Spanish Segunda División,2.0,2.0
D. Pines,23,United States,196,91,1000.0,3000.0,750000.0,2900000.0,4900000.0,D.C. United,D.C. United,USA Major League Soccer,USA Major League Soccer,1.0,1.0
P. Šulc,20,Czech Republic,173,70,,500.0,,3100000.0,7400000.0,,FC Viktoria Plzeň,,Czech Republic Gambrinus Liga,,1.0
C. Oliva,25,Uruguay,178,75,13000.0,14000.0,2200000.0,1900000.0,3400000.0,Cagliari,Cagliari,Italian Serie A,Italian Serie A,1.0,1.0
Víctor Ruiz,27,Spain,173,66,8000.0,6000.0,1800000.0,1600000.0,2400000.0,FC St. Gallen 1879,FC St. Gallen 1879,Swiss Super League,Swiss Super League,1.0,1.0
M. Hanousek,28,Czech Republic,182,74,800.0,500.0,3200000.0,1300000.0,,AC Sparta Praha,Wisła Kraków,Czech Republic Gambrinus Liga,Polish T-Mobile Ekstraklasa,1.0,1.0
J. Ngakia,20,England,178,73,2000.0,15000.0,1300000.0,3200000.0,6700000.0,Watford,Watford,English League Championship,English Premier League,2.0,1.0
J. Araujo,19,United States,175,70,500.0,2000.0,1200000.0,2900000.0,4900000.0,LA Galaxy,LA Galaxy,USA Major League Soccer,USA Major League Soccer,1.0,1.0
S. Moreno,21,Colombia,180,73,500.0,3000.0,650000.0,3400000.0,5800000.0,América de Cali,Portland Timbers,Colombian Liga Postobón,USA Major League Soccer,1.0,1.0
V. Crețu,32,Romania,176,71,9000.0,8000.0,1200000.0,975000.0,1400000.0,FCSB (Steaua),FCSB (Steaua),Romanian Liga I,Romanian Liga I,1.0,1.0
I. Panțîru,25,Romania,179,74,8000.0,7000.0,2400000.0,1700000.0,2500000.0,FCSB (Steaua),FCSB (Steaua),Romanian Liga I,Romanian Liga I,1.0,1.0
R. Radunović,29,Montenegro,183,77,7000.0,8000.0,1400000.0,1200000.0,1700000.0,AFC Astra Giurgiu,FCSB (Steaua),Romanian Liga I,Romanian Liga I,1.0,1.0
A. Mățan,21,Romania,165,61,3000.0,3000.0,2500000.0,3100000.0,5300000.0,FC Viitorul Constanța,Columbus Crew,Romanian Liga I,USA Major League Soccer,1.0,1.0
A. Ciobanu,23,Romania,176,68,4000.0,5000.0,2700000.0,3100000.0,4800000.0,FC Viitorul Constanța,FC Farul Constanța,Romanian Liga I,Romanian Liga I,1.0,1.0
K. Maradishvili,21,Russia,179,70,5000.0,13000.0,900000.0,3000000.0,5400000.0,PFC CSKA Moscow,FC Lokomotiv Moscow,Russian Premier League,Russian Premier League,1.0,1.0
P. Maslov,21,Russia,184,75,9000.0,15000.0,2000000.0,3000000.0,5400000.0,Spartak Moskva,Spartak Moskva,Russian Premier League,Russian Premier League,1.0,1.0
Z. Aboukhlal,21,Morocco,179,74,4000.0,5000.0,2600000.0,3100000.0,5300000.0,AZ Alkmaar,AZ Alkmaar,Holland Eredivisie,Holland Eredivisie,1.0,1.0
J. Mellot,27,France,178,77,5000.0,5000.0,1700000.0,1500000.0,2500000.0,En Avant de Guingamp,CD Tenerife,French Ligue 2,Spanish Segunda División,2.0,2.0
A. Hickey,19,Scotland,175,72,,7000.0,,3200000.0,7400000.0,,Bologna,,Italian Serie A,,1.0
L. Kilian,21,Germany,192,91,8000.0,8000.0,2900000.0,2600000.0,,1. FSV Mainz 05,1. FC Köln,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
K. Koné,20,France,185,80,1000.0,9000.0,2000000.0,3300000.0,7700000.0,Toulouse Football Club,Borussia Mönchengladbach,French Ligue 2,German 1. Bundesliga,2.0,1.0
D. Abels,24,Netherlands,179,77,3000.0,4000.0,1100000.0,1900000.0,2900000.0,Sparta Rotterdam,Sparta Rotterdam,Holland Eredivisie,Holland Eredivisie,1.0,1.0
Anderson Oliveira,23,Brazil,186,85,5000.0,10000.0,2700000.0,3100000.0,5400000.0,Futebol Clube de Famalicão,Beijing Guoan FC,Portuguese Liga ZON SAGRES,Chinese Super League,1.0,1.0
M. Noubissi,24,Cameroon,180,87,6000.0,6000.0,2200000.0,2100000.0,3200000.0,K Beerschot VA,K Beerschot VA,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
E. Lombardo,24,France,174,69,5000.0,6000.0,3500000.0,2200000.0,4000000.0,RCD Mallorca,SD Huesca,Spanish Segunda División,Spanish Segunda División,2.0,2.0
O. Ceylan,30,Turkey,174,72,6000.0,7000.0,1100000.0,1200000.0,2400000.0,Gazişehir Gaziantep F.K.,Gazişehir Gaziantep F.K.,Turkish Süper Lig,Turkish Süper Lig,1.0,1.0
F. Makaringe,28,South Africa,181,72,500.0,500.0,1600000.0,1400000.0,3100000.0,Orlando Pirates,Orlando Pirates,South African Premier Division,South African Premier Division,1.0,1.0
M. Klimowicz,20,Germany,179,71,2000.0,10000.0,575000.0,3100000.0,6200000.0,VfB Stuttgart,VfB Stuttgart,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Álex Bermejo,22,Spain,183,76,4000.0,5000.0,3100000.0,3100000.0,5600000.0,CD Tenerife,CD Tenerife,Spanish Segunda División,Spanish Segunda División,2.0,2.0
B. Pichler,23,Austria,184,87,7000.0,11000.0,1900000.0,2800000.0,5000000.0,FK Austria Wien,Holstein Kiel,Austrian Football Bundesliga,German 2. Bundesliga,1.0,2.0
P. Cucchi,28,Argentina,180,80,,7000.0,,1400000.0,2000000.0,,Club Atlético Sarmiento,,Argentina Primera División,,1.0
L. Brassier,21,France,184,78,6000.0,6000.0,1200000.0,2600000.0,5700000.0,Stade Rennais FC,Stade Brestois 29,French Ligue 1,French Ligue 1,1.0,1.0
L. Díaz,22,Costa Rica,180,72,3000.0,4000.0,3100000.0,3100000.0,5300000.0,Columbus Crew,Columbus Crew,USA Major League Soccer,USA Major League Soccer,1.0,1.0
T. Krauß,20,Germany,182,72,4000.0,18000.0,575000.0,2900000.0,,1. FC Nürnberg,1. FC Nürnberg,German 2. Bundesliga,German 2. Bundesliga,2.0,2.0
B. Johnson,20,Wales,181,71,,16000.0,,3400000.0,8600000.0,,Nottingham Forest,,English League Championship,,2.0
J. Mary,28,Cameroon,186,83,5000.0,7000.0,825000.0,1400000.0,,Shenzhen FC,Avispa Fukuoka,Chinese Super League,Japanese J. League Division 1,1.0,1.0
V. Tasar,24,Germany,174,65,6000.0,7000.0,2300000.0,2100000.0,3300000.0,Servette FC,FC Luzern,Swiss Super League,Swiss Super League,1.0,1.0
H. Bockhorn,26,Uganda,177,76,3000.0,11000.0,625000.0,1600000.0,3000000.0,VfL Bochum 1848,VfL Bochum 1848,German 2. Bundesliga,German 1. Bundesliga,2.0,1.0
T. Pobega,21,Italy,188,78,9000.0,12000.0,2200000.0,3100000.0,,AC Milan,Torino F.C.,Italian Serie A,Italian Serie A,1.0,1.0
A. Rogel,23,Uruguay,190,84,2000.0,3000.0,1900000.0,2600000.0,,Toulouse Football Club,Estudiantes de La Plata,French Ligue 2,Argentina Primera División,2.0,1.0
Riccieli,22,Brazil,184,80,4000.0,4000.0,2900000.0,2900000.0,6700000.0,Futebol Clube de Famalicão,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
A. Ait El Hadj,19,Belgium,168,70,1000.0,6000.0,625000.0,3300000.0,7000000.0,RSC Anderlecht,RSC Anderlecht,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
Patrick William,24,Brazil,186,78,6000.0,4000.0,3900000.0,2900000.0,,Futebol Clube de Famalicão,Estoril Praia,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
A. Soñora,22,United States,171,65,2000.0,6000.0,725000.0,2800000.0,4800000.0,Club Atlético Independiente,Club Atlético Independiente,Argentina Primera División,Argentina Primera División,1.0,1.0
P. Cornud,24,France,177,73,2000.0,4000.0,1800000.0,2100000.0,3800000.0,CE Sabadell FC,Real Oviedo,Spanish Segunda División,Spanish Segunda División,2.0,2.0
D. Nemeth,20,Austria,191,89,,8000.0,,2600000.0,5200000.0,,1. FSV Mainz 05,,German 1. Bundesliga,,1.0
